Timestamps,Filtered Voltages,Envelope
4680.677246,0.000772,0.008417
4688.874512,-0.007571,0.008673
4697.071777,0.007769,0.008652
4705.269531,-0.001359,0.008373
4713.466797,-0.005491,0.007892
4721.664062,0.007253,0.00729
4729.861328,-0.003748,0.006666
4738.058594,-0.001428,0.00612
4746.255859,0.004926,0.005739
4754.453125,-0.00544,0.005594
4762.650879,0.003079,0.005729
4770.848145,0.001349,0.006148
4779.04541,-0.005917,0.006831
4787.242676,0.007261,0.007719
4795.439941,-0.002671,0.008739
4803.637207,-0.005851,0.009809
4811.834473,0.010838,0.010852
4820.032227,-0.005918,0.01181
4828.229492,-0.005945,0.012657
4836.426758,0.013362,0.013383
4844.624023,-0.007885,0.014008
4852.821289,-0.006195,0.014556
4861.018555,0.014984,0.015041
4869.21582,-0.008784,0.015474
4877.413574,-0.007033,0.015846
4885.61084,0.016128,0.016137
4893.808105,-0.008136,0.016323
4902.005371,-0.008888,0.016382
4910.202637,0.016207,0.0163
4918.399902,-0.005599,0.016078
4926.597168,-0.010797,0.015731
4934.794434,0.0146,0.015273
4942.992188,-0.002372,0.014726
4951.189453,-0.011433,0.014107
4959.386719,0.011927,0.013419
4967.583984,2e-06,0.012669
4975.78125,-0.010503,0.011855
4983.978516,0.009061,0.010966
4992.175781,0.001,0.009989
5000.373535,-0.008183,0.008917
5008.570801,0.006215,0.007751
5016.768066,0.000621,0.006518
5024.965332,-0.004669,0.00528
5033.162598,0.003737,0.004131
5041.359863,-0.000952,0.003211
5049.557129,-0.0011,0.00269
5057.754883,0.002362,0.002613
5065.952148,-0.002609,0.002798
5074.149414,0.000825,0.003011
5082.34668,0.00208,0.003122
5090.543945,-0.003031,0.003106
5098.741211,0.000689,0.002992
5106.938477,0.002279,0.002838
5115.13623,-0.002282,0.002726
5123.333496,-0.000713,0.002738
5131.530762,0.002924,0.002925
5139.728027,-0.001196,0.003292
5147.925293,-0.002802,0.00379
5156.122559,0.003947,0.004345
5164.319824,9e-06,0.004882
5172.517578,-0.004815,0.005336
5180.714844,0.004447,0.00564
5188.912109,0.001083,0.005737
5197.109375,-0.005349,0.005587
5205.306641,0.003628,0.005151
5213.503906,0.001261,0.004413
5221.701172,-0.003294,0.003378
5229.898438,0.001458,0.002063
5238.096191,-0.000113,0.000577
5246.293457,0.001317,0.001354
5254.490723,-0.001263,0.003186
5262.687988,-0.002957,0.005033
5270.885254,0.00671,0.006756
5279.08252,-0.00314,0.008242
5287.279785,-0.005883,0.009394
5295.477539,0.00998,0.010131
5303.674805,-0.00339,0.01041
5311.87207,-0.006812,0.010225
5320.069336,0.00939,0.009605
5328.266602,-0.002725,0.008623
5336.463867,-0.004716,0.007391
5344.661133,0.006015,0.00604
5352.858887,-0.002605,0.004741
5361.056152,-0.000718,0.003723
5369.253418,0.002424,0.003259
5377.450684,-0.003461,0.003476
5385.647949,0.003209,0.004139
5393.845215,-1.6e-05,0.004962
5402.04248,-0.004726,0.005805
5410.240234,0.006141,0.006601
5418.4375,-0.001259,0.007327
5426.634766,-0.006093,0.007976
5434.832031,0.007992,0.008534
5443.029297,-0.001254,0.008997
5451.226562,-0.007596,0.009364
5459.423828,0.008575,0.009626
5467.621094,6.1e-05,0.009779
5475.818848,-0.008823,0.009817
5484.016113,0.007678,0.009728
