Unnamed: 0,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,type,grid_x,grid_y,angle,real_x,real_y,grid_distance,sensor_position,sensor_height
343,0.002815,35432,1977.474683502659,37892.11945182967,,,,,,,,,,,,,
344,0.002823,65535,32512.632142199996,38223.297770379104,,,,,,,,,,,,,
345,0.002831,1328,-33430.310184372254,38350.78750927762,,,,,,,,,,,,,
346,0.00284,32776,-104.00761977499792,38299.28245017465,,,,,,,,,,,,,
347,0.002848,65535,33231.99243972475,38107.771378029785,,,,,,,,,,,,,
348,0.002856,1344,-32371.26195218148,37749.59054549621,,,,,,,,,,,,,
349,0.002864,31335,-584.1902431433143,37214.76934882242,,,,,,,,,,,,,
350,0.002872,65535,31814.87134253549,36530.55927355378,,,,,,,,,,,,,
351,0.002881,1408,-30912.892538571203,35698.527492331035,,,,,,,,,,,,,
352,0.002889,31607,484.8138362011034,34753.14857369507,,,,,,,,,,,,,
353,0.002897,60990,28660.245710074618,33741.78780144554,,,,,,,,,,,,,
354,0.002905,1536,-29125.211542467845,32646.218142784917,,,,,,,,,,,,,
355,0.002913,33560,2579.936405164281,31463.16466616403,,,,,,,,,,,,,
356,0.002922,54973,24301.91771159986,30217.1616898925,,,,,,,,,,,,,
357,0.00293,1920,-26864.130238954927,28902.616259288312,,,,,,,,,,,,,
358,0.002938,37545,4972.435854472317,27549.763512343383,,,,,,,,,,,,,
359,0.002946,50428,19291.10694596973,26197.63933217621,,,,,,,,,,,,,
360,0.002955,6385,-23965.951730002675,24824.012919387314,,,,,,,,,,,,,
361,0.002963,39001,7006.430560522136,23427.110148712167,,,,,,,,,,,,,
362,0.002971,45243,14144.208500958008,22021.508687351765,,,,,,,,,,,,,
363,0.002979,11826,-20429.519527612167,20594.705179433244,,,,,,,,,,,,,
364,0.002987,39689,8271.728388050196,19180.31165308508,,,,,,,,,,,,,
365,0.002996,40425,9327.01140951726,17814.900950042378,,,,,,,,,,,,,
366,0.003004,16115,-16476.791801185787,16481.878951345465,,,,,,,,,,,,,
367,0.003012,39897,8633.593387556657,15189.273355027237,,,,,,,,,,,,,
368,0.00302,36472,5226.8766266534685,13942.803701080436,,,,,,,,,,,,,
369,0.003028,19588,-12472.199149321204,12723.402542160567,,,,,,,,,,,,,
370,0.003037,39609,8166.62601573852,11562.73258402908,,,,,,,,,,,,,
