Unnamed: 0,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,type,grid_x,grid_y,angle,real_x,real_y,grid_distance,sensor_position,sensor_height
31,0.000254,1072,-43796.37709790071,44124.61465316742,,,-92.81442673186882,,,,,,,,,,
32,0.000262,65535,16973.35101229301,43701.47550920163,,,7.897711256192235,,,,,,,,,,
33,0.00027,65535,26662.488584355888,43985.32505258748,,,70.11571689671229,,,,,,,,,,
34,0.000279,1072,-44034.29843435456,44374.71103975576,,,-83.8978753489287,,,,,,,,,,
35,0.000287,65535,18341.87374631576,44729.59255500359,,,43.88013208500261,,,,,,,,,,
36,0.000295,65535,25344.376317705388,45053.16684611879,,,5.193372792308121,,,,,,,,,,
37,0.000303,1088,-44794.11927835228,44850.562620838726,,,-39.34117334939421,,,,,,,,,,
38,0.000311,65535,21388.16681561368,44567.31764077534,,,57.21816277349991,,,,,,,,,,
39,0.000319,65535,22199.014741096293,44615.41531345157,,,-50.198402701965655,,,,,,,,,,
40,0.000328,1088,-44419.5129575654,44446.225105008656,,,10.497298543211125,,,,,,,,,,
41,0.000336,65535,25157.271765821668,44001.37165615684,,,34.83057617793821,,,,,,,,,,
42,0.000344,64639,16032.814170138126,43220.1789929672,,,-44.10140441226404,,,,,,,,,,
43,0.000352,1088,-40774.87285668378,41672.172793531536,,,27.55796526667672,,,,,,,,,,
44,0.00036,65535,28839.523082963908,39882.91349670459,,,-40.008980486958855,,,,,,,,,,
45,0.000369,48251,5927.944724568035,38265.94695621019,,,70.86542889429346,,,,,,,,,,
46,0.000377,1024,-32670.51082995154,36619.35757153793,,,-8.06320377664515,,,,,,,,,,
47,0.000385,65535,31831.87638335165,35326.316999752366,,,-189.2094254098275,,,,,,,,,,
48,0.000393,29175,-7568.099501383474,34388.89718070017,,,313.5455212608589,,,,,,,,,,
49,0.000401,2432,-20658.27101649513,33570.51930019329,,,-78.76715933276093,,,,,,,,,,
50,0.00041,65535,33384.43117827301,33398.46540679536,,,-434.8818062748962,,,,,,,,,,
51,0.000418,7953,-21910.50906596931,33795.062828932016,,,659.8348438111445,,,,,,,,,,
52,0.000426,22437,-6829.423956161059,34594.20590347445,,,-128.64218621165236,,,,,,,,,,
53,0.000434,65535,32285.97560149886,35964.42075518353,,,-790.0390591291679,,,,,,,,,,
54,0.000442,1152,-33153.12142970057,37263.86663680387,,,1045.1602816746142,,,,,,,,,,
55,0.000451,46091,6195.377799224426,38101.176844421054,,,-81.89708040270668,,,,,,,,,,
56,0.000459,65535,27013.63548708284,38476.27157380344,,,-1247.7192543912115,,,,,,,,,,
57,0.000467,1072,-37521.15451182128,38001.2713440363,,,1381.2048813228696,,,,,,,,,,
58,0.000475,65535,16460.419138158883,36893.989335691775,,,126.29227964562452,,,,,,,,,,
59,0.000483,65535,16481.573227806526,35502.801009400326,,,-1770.7434373697229,,,,,,,,,,
60,0.000492,1088,-33207.7156270466,33625.019008286865,,,1580.4117044179816,,,,,,,,,,
61,0.0005,65535,23314.83685783941,31560.826410833564,,,516.8461476671299,,,,,,,,,,
62,0.000508,54525,1069.888083501752,29625.915187238203,,,-2287.5084323493547,,,,,,,,,,
63,0.000516,1056,-21364.69360472764,27936.352502898684,,,1582.8724959434765,,,,,,,,,,
64,0.000524,65535,27113.46750693404,27274.46055642164,,,1044.8077702792527,,,,,,,,,,
65,0.000532,1216,-16776.578559062258,27882.9131719693,,,-2702.235873626503,,,,,,,,,,
66,0.000541,48283,-5597.971044025288,29619.15058026043,,,1379.8032035540173,,,,,,,,,,
67,0.000549,65535,28296.484670115515,32476.22614881233,,,1601.680889015749,,,,,,,,,,
68,0.000557,1072,-33037.27104763662,35725.661262856,,,-2923.65021618785,,,,,,,,,,
69,0.000565,65535,9800.30218344573,38875.06618469183,,,1024.249895068356,,,,,,,,,,
70,0.000573,65535,26681.915112454382,41734.62387068936,,,2048.293844420092,,,,,,,,,,
71,0.000582,1072,-43667.162220791375,43850.09141458713,,,-2902.898055479965,,,,,,,,,,
72,0.00059,65535,21770.645376191915,45311.30509236843,,,618.6315525392657,,,,,,,,,,
73,0.000598,65535,21589.388563678775,46302.50339408536,,,2268.383091832664,,,,,,,,,,
74,0.000606,1136,-46341.65520178251,46567.23137684786,,,-2658.998863003119,,,,,,,,,,
75,0.000614,65535,29404.0919419095,46179.545655593945,,,277.61879515676503,,,,,,,,,,
76,0.000623,57341,12637.819696054408,45210.41678538502,,,2216.6269674744744,,,,,,,,,,
77,0.000631,1072,-41332.13341574308,43551.841150162734,,,-2272.2082828822777,,,,,,,,,,
78,0.000639,65535,33529.395407725526,41653.40404669525,,,81.74680139198429,,,,,,,,,,
79,0.000647,33496,504.0479895430765,39874.81455481543,,,1932.8982822050064,,,,,,,,,,
80,0.000655,1024,-31079.85856643764,38262.2916731314,,,-1845.8002448579316,,,,,,,,,,
81,0.000664,65535,35542.02486719862,37160.30426158993,,,48.275162156400654,,,,,,,,,,
82,0.000672,12355,-12954.157744517795,36562.18125107345,,,1513.8918970169234,,,,,,,,,,
83,0.00068,9682,-18885.90554541609,36294.61843757775,,,-1460.5810274606442,,,,,,,,,,
